timestamp_ms,generation_mw,time_utc
1609714800000,0.25,2021-01-03 23:00:00
1609715700000,0.25,2021-01-03 23:15:00
1609716600000,0.25,2021-01-03 23:30:00
1609717500000,0.25,2021-01-03 23:45:00
1609718400000,0.25,2021-01-04 00:00:00
1609719300000,0.25,2021-01-04 00:15:00
1609720200000,0.25,2021-01-04 00:30:00
1609721100000,0.25,2021-01-04 00:45:00
1609722000000,0.25,2021-01-04 01:00:00
1609722900000,0.25,2021-01-04 01:15:00
1609723800000,0.25,2021-01-04 01:30:00
1609724700000,0.25,2021-01-04 01:45:00
1609725600000,0.25,2021-01-04 02:00:00
1609726500000,0.25,2021-01-04 02:15:00
1609727400000,0.25,2021-01-04 02:30:00
1609728300000,0.25,2021-01-04 02:45:00
1609729200000,0.25,2021-01-04 03:00:00
1609730100000,0.25,2021-01-04 03:15:00
1609731000000,0.25,2021-01-04 03:30:00
1609731900000,0.25,2021-01-04 03:45:00
1609732800000,0.25,2021-01-04 04:00:00
1609733700000,0.25,2021-01-04 04:15:00
1609734600000,0.25,2021-01-04 04:30:00
1609735500000,0.25,2021-01-04 04:45:00
1609736400000,0.25,2021-01-04 05:00:00
1609737300000,0.25,2021-01-04 05:15:00
1609738200000,0.25,2021-01-04 05:30:00
1609739100000,0.25,2021-01-04 05:45:00
1609740000000,0.25,2021-01-04 06:00:00
1609740900000,0.25,2021-01-04 06:15:00
1609741800000,0.25,2021-01-04 06:30:00
1609742700000,0.5,2021-01-04 06:45:00
1609743600000,11.0,2021-01-04 07:00:00
1609744500000,35.75,2021-01-04 07:15:00
1609745400000,28.25,2021-01-04 07:30:00
1609746300000,24.75,2021-01-04 07:45:00
1609747200000,36.0,2021-01-04 08:00:00
1609748100000,57.0,2021-01-04 08:15:00
1609749000000,78.5,2021-01-04 08:30:00
1609749900000,107.0,2021-01-04 08:45:00
1609750800000,136.75,2021-01-04 09:00:00
1609751700000,165.25,2021-01-04 09:15:00
1609752600000,193.75,2021-01-04 09:30:00
1609753500000,220.25,2021-01-04 09:45:00
1609754400000,239.25,2021-01-04 10:00:00
1609755300000,258.0,2021-01-04 10:15:00
1609756200000,269.0,2021-01-04 10:30:00
1609757100000,282.75,2021-01-04 10:45:00
1609758000000,290.75,2021-01-04 11:00:00
1609758900000,291.25,2021-01-04 11:15:00
1609759800000,290.0,2021-01-04 11:30:00
1609760700000,284.5,2021-01-04 11:45:00
1609761600000,273.75,2021-01-04 12:00:00
1609762500000,260.5,2021-01-04 12:15:00
1609763400000,246.0,2021-01-04 12:30:00
1609764300000,227.25,2021-01-04 12:45:00
1609765200000,207.5,2021-01-04 13:00:00
1609766100000,181.0,2021-01-04 13:15:00
1609767000000,152.0,2021-01-04 13:30:00
1609767900000,122.0,2021-01-04 13:45:00
1609768800000,91.75,2021-01-04 14:00:00
1609769700000,64.5,2021-01-04 14:15:00
1609770600000,39.25,2021-01-04 14:30:00
1609771500000,19.0,2021-01-04 14:45:00
1609772400000,6.25,2021-01-04 15:00:00
1609773300000,1.75,2021-01-04 15:15:00
1609774200000,0.25,2021-01-04 15:30:00
1609775100000,0.25,2021-01-04 15:45:00
1609776000000,0.25,2021-01-04 16:00:00
1609776900000,0.25,2021-01-04 16:15:00
1609777800000,0.25,2021-01-04 16:30:00
1609778700000,0.25,2021-01-04 16:45:00
1609779600000,0.25,2021-01-04 17:00:00
1609780500000,0.25,2021-01-04 17:15:00
1609781400000,0.25,2021-01-04 17:30:00
1609782300000,0.25,2021-01-04 17:45:00
1609783200000,0.25,2021-01-04 18:00:00
1609784100000,0.25,2021-01-04 18:15:00
1609785000000,0.25,2021-01-04 18:30:00
1609785900000,0.25,2021-01-04 18:45:00
1609786800000,0.25,2021-01-04 19:00:00
1609787700000,0.25,2021-01-04 19:15:00
1609788600000,0.25,2021-01-04 19:30:00
1609789500000,0.25,2021-01-04 19:45:00
1609790400000,0.25,2021-01-04 20:00:00
1609791300000,0.25,2021-01-04 20:15:00
1609792200000,0.25,2021-01-04 20:30:00
1609793100000,0.25,2021-01-04 20:45:00
1609794000000,0.25,2021-01-04 21:00:00
1609794900000,0.25,2021-01-04 21:15:00
1609795800000,0.25,2021-01-04 21:30:00
1609796700000,0.25,2021-01-04 21:45:00
1609797600000,0.25,2021-01-04 22:00:00
1609798500000,0.25,2021-01-04 22:15:00
1609799400000,0.25,2021-01-04 22:30:00
1609800300000,0.25,2021-01-04 22:45:00
1609801200000,0.25,2021-01-04 23:00:00
1609802100000,0.25,2021-01-04 23:15:00
1609803000000,0.25,2021-01-04 23:30:00
1609803900000,0.25,2021-01-04 23:45:00
1609804800000,0.25,2021-01-05 00:00:00
1609805700000,0.25,2021-01-05 00:15:00
1609806600000,0.25,2021-01-05 00:30:00
1609807500000,0.25,2021-01-05 00:45:00
1609808400000,0.25,2021-01-05 01:00:00
1609809300000,0.25,2021-01-05 01:15:00
1609810200000,0.25,2021-01-05 01:30:00
1609811100000,0.25,2021-01-05 01:45:00
1609812000000,0.25,2021-01-05 02:00:00
1609812900000,0.25,2021-01-05 02:15:00
1609813800000,0.25,2021-01-05 02:30:00
1609814700000,0.25,2021-01-05 02:45:00
1609815600000,0.25,2021-01-05 03:00:00
1609816500000,0.25,2021-01-05 03:15:00
1609817400000,0.25,2021-01-05 03:30:00
1609818300000,0.25,2021-01-05 03:45:00
1609819200000,0.25,2021-01-05 04:00:00
1609820100000,0.25,2021-01-05 04:15:00
1609821000000,0.25,2021-01-05 04:30:00
1609821900000,0.25,2021-01-05 04:45:00
1609822800000,0.25,2021-01-05 05:00:00
1609823700000,0.25,2021-01-05 05:15:00
1609824600000,0.25,2021-01-05 05:30:00
1609825500000,0.25,2021-01-05 05:45:00
1609826400000,0.25,2021-01-05 06:00:00
1609827300000,0.25,2021-01-05 06:15:00
1609828200000,0.25,2021-01-05 06:30:00
1609829100000,0.75,2021-01-05 06:45:00
1609830000000,9.75,2021-01-05 07:00:00
1609830900000,22.75,2021-01-05 07:15:00
1609831800000,31.75,2021-01-05 07:30:00
1609832700000,34.75,2021-01-05 07:45:00
1609833600000,51.0,2021-01-05 08:00:00
1609834500000,70.25,2021-01-05 08:15:00
1609835400000,99.5,2021-01-05 08:30:00
1609836300000,127.0,2021-01-05 08:45:00
1609837200000,158.5,2021-01-05 09:00:00
1609838100000,186.25,2021-01-05 09:15:00
1609839000000,211.75,2021-01-05 09:30:00
1609839900000,240.0,2021-01-05 09:45:00
1609840800000,265.5,2021-01-05 10:00:00
1609841700000,287.5,2021-01-05 10:15:00
1609842600000,308.75,2021-01-05 10:30:00
1609843500000,319.25,2021-01-05 10:45:00
1609844400000,325.0,2021-01-05 11:00:00
1609845300000,328.75,2021-01-05 11:15:00
1609846200000,325.0,2021-01-05 11:30:00
1609847100000,320.75,2021-01-05 11:45:00
1609848000000,310.5,2021-01-05 12:00:00
1609848900000,296.5,2021-01-05 12:15:00
1609849800000,273.25,2021-01-05 12:30:00
1609850700000,248.0,2021-01-05 12:45:00
1609851600000,221.75,2021-01-05 13:00:00
1609852500000,191.75,2021-01-05 13:15:00
1609853400000,161.75,2021-01-05 13:30:00
1609854300000,131.75,2021-01-05 13:45:00
1609855200000,102.75,2021-01-05 14:00:00
1609856100000,74.75,2021-01-05 14:15:00
1609857000000,47.25,2021-01-05 14:30:00
1609857900000,24.5,2021-01-05 14:45:00
1609858800000,9.0,2021-01-05 15:00:00
1609859700000,2.25,2021-01-05 15:15:00
1609860600000,0.25,2021-01-05 15:30:00
1609861500000,0.25,2021-01-05 15:45:00
1609862400000,0.5,2021-01-05 16:00:00
1609863300000,0.25,2021-01-05 16:15:00
1609864200000,0.25,2021-01-05 16:30:00
1609865100000,0.25,2021-01-05 16:45:00
1609866000000,0.25,2021-01-05 17:00:00
1609866900000,0.25,2021-01-05 17:15:00
1609867800000,0.25,2021-01-05 17:30:00
1609868700000,0.25,2021-01-05 17:45:00
1609869600000,0.25,2021-01-05 18:00:00
1609870500000,0.25,2021-01-05 18:15:00
1609871400000,0.25,2021-01-05 18:30:00
1609872300000,0.25,2021-01-05 18:45:00
1609873200000,0.25,2021-01-05 19:00:00
1609874100000,0.25,2021-01-05 19:15:00
1609875000000,0.25,2021-01-05 19:30:00
1609875900000,0.25,2021-01-05 19:45:00
1609876800000,0.25,2021-01-05 20:00:00
1609877700000,0.25,2021-01-05 20:15:00
1609878600000,0.25,2021-01-05 20:30:00
1609879500000,0.25,2021-01-05 20:45:00
1609880400000,0.25,2021-01-05 21:00:00
1609881300000,0.25,2021-01-05 21:15:00
1609882200000,0.25,2021-01-05 21:30:00
1609883100000,0.25,2021-01-05 21:45:00
1609884000000,0.25,2021-01-05 22:00:00
1609884900000,0.25,2021-01-05 22:15:00
1609885800000,0.25,2021-01-05 22:30:00
1609886700000,0.25,2021-01-05 22:45:00
1609887600000,0.25,2021-01-05 23:00:00
1609888500000,0.25,2021-01-05 23:15:00
1609889400000,0.25,2021-01-05 23:30:00
1609890300000,0.25,2021-01-05 23:45:00
1609891200000,0.25,2021-01-06 00:00:00
1609892100000,0.25,2021-01-06 00:15:00
1609893000000,0.25,2021-01-06 00:30:00
1609893900000,0.25,2021-01-06 00:45:00
1609894800000,0.25,2021-01-06 01:00:00
1609895700000,0.25,2021-01-06 01:15:00
1609896600000,0.25,2021-01-06 01:30:00
1609897500000,0.25,2021-01-06 01:45:00
1609898400000,0.25,2021-01-06 02:00:00
1609899300000,0.25,2021-01-06 02:15:00
1609900200000,0.25,2021-01-06 02:30:00
1609901100000,0.25,2021-01-06 02:45:00
1609902000000,0.25,2021-01-06 03:00:00
1609902900000,0.25,2021-01-06 03:15:00
1609903800000,0.25,2021-01-06 03:30:00
1609904700000,0.25,2021-01-06 03:45:00
1609905600000,0.25,2021-01-06 04:00:00
1609906500000,0.25,2021-01-06 04:15:00
1609907400000,0.25,2021-01-06 04:30:00
1609908300000,0.25,2021-01-06 04:45:00
1609909200000,0.25,2021-01-06 05:00:00
1609910100000,0.25,2021-01-06 05:15:00
1609911000000,0.25,2021-01-06 05:30:00
1609911900000,0.25,2021-01-06 05:45:00
1609912800000,0.25,2021-01-06 06:00:00
1609913700000,0.25,2021-01-06 06:15:00
1609914600000,0.5,2021-01-06 06:30:00
1609915500000,0.75,2021-01-06 06:45:00
1609916400000,12.25,2021-01-06 07:00:00
1609917300000,39.75,2021-01-06 07:15:00
1609918200000,24.75,2021-01-06 07:30:00
1609919100000,22.0,2021-01-06 07:45:00
1609920000000,41.5,2021-01-06 08:00:00
1609920900000,68.25,2021-01-06 08:15:00
1609921800000,106.5,2021-01-06 08:30:00
1609922700000,141.75,2021-01-06 08:45:00
1609923600000,175.5,2021-01-06 09:00:00
1609924500000,212.25,2021-01-06 09:15:00
1609925400000,241.75,2021-01-06 09:30:00
1609926300000,271.25,2021-01-06 09:45:00
1609927200000,300.25,2021-01-06 10:00:00
1609928100000,330.0,2021-01-06 10:15:00
1609929000000,353.0,2021-01-06 10:30:00
1609929900000,364.75,2021-01-06 10:45:00
1609930800000,377.0,2021-01-06 11:00:00
1609931700000,380.25,2021-01-06 11:15:00
1609932600000,378.0,2021-01-06 11:30:00
1609933500000,376.0,2021-01-06 11:45:00
1609934400000,368.25,2021-01-06 12:00:00
1609935300000,349.75,2021-01-06 12:15:00
